antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,margen_estimado
frozenset({'cerveza negra 1l'}),frozenset({'coca cola 1.5l'}),0.041666666666666664,0.016666666666666666,0.016666666666666666,0.4,24.0,1.0,0.01597222222222222,1.6388888888888888,1.0,0.39999999999999997,0.38983050847457634,0.7,8185.450000000001
frozenset({'coca cola 1.5l'}),frozenset({'cerveza negra 1l'}),0.016666666666666666,0.041666666666666664,0.016666666666666666,1.0,24.0,1.0,0.01597222222222222,inf,0.9745762711864407,0.39999999999999997,1.0,0.7,8185.450000000001
frozenset({'verduras congeladas mix'}),frozenset({'jugo de manzana 1l'}),0.025,0.03333333333333333,0.016666666666666666,0.6666666666666666,20.0,1.0,0.015833333333333335,2.9,0.9743589743589745,0.39999999999999997,0.6551724137931034,0.5833333333333333,11548.599999999999
frozenset({'jugo de manzana 1l'}),frozenset({'verduras congeladas mix'}),0.03333333333333333,0.025,0.016666666666666666,0.5,20.0,1.0,0.015833333333333335,1.95,0.9827586206896552,0.39999999999999997,0.48717948717948717,0.5833333333333333,11548.599999999999
frozenset({'queso azul 150g'}),frozenset({'crema dental 90g'}),0.025,0.03333333333333333,0.016666666666666666,0.6666666666666666,20.0,1.0,0.015833333333333335,2.9,0.9743589743589745,0.39999999999999997,0.6551724137931034,0.5833333333333333,9591.4
frozenset({'crema dental 90g'}),frozenset({'queso azul 150g'}),0.03333333333333333,0.025,0.016666666666666666,0.5,20.0,1.0,0.015833333333333335,1.95,0.9827586206896552,0.39999999999999997,0.48717948717948717,0.5833333333333333,9591.4
frozenset({'trapo de piso'}),frozenset({'garbanzos 500g'}),0.03333333333333333,0.03333333333333333,0.016666666666666666,0.5,15.0,1.0,0.015555555555555555,1.9333333333333333,0.9655172413793104,0.3333333333333333,0.4827586206896552,0.5,10028.199999999999
frozenset({'garbanzos 500g'}),frozenset({'trapo de piso'}),0.03333333333333333,0.03333333333333333,0.016666666666666666,0.5,15.0,1.0,0.015555555555555555,1.9333333333333333,0.9655172413793104,0.3333333333333333,0.4827586206896552,0.5,10028.199999999999
frozenset({'azúcar 1kg'}),frozenset({'vino blanco 750ml'}),0.03333333333333333,0.03333333333333333,0.016666666666666666,0.5,15.0,1.0,0.015555555555555555,1.9333333333333333,0.9655172413793104,0.3333333333333333,0.4827586206896552,0.5,9450.875
frozenset({'vino blanco 750ml'}),frozenset({'azúcar 1kg'}),0.03333333333333333,0.03333333333333333,0.016666666666666666,0.5,15.0,1.0,0.015555555555555555,1.9333333333333333,0.9655172413793104,0.3333333333333333,0.4827586206896552,0.5,9450.875
frozenset({'papas fritas onduladas 100g'}),frozenset({'papas fritas clásicas 100g'}),0.025,0.05,0.016666666666666666,0.6666666666666666,13.333333333333332,1.0,0.015416666666666665,2.8499999999999996,0.9487179487179486,0.28571428571428564,0.6491228070175438,0.5,5891.9
frozenset({'papas fritas clásicas 100g'}),frozenset({'papas fritas onduladas 100g'}),0.05,0.025,0.016666666666666666,0.3333333333333333,13.333333333333332,1.0,0.015416666666666665,1.4625,0.9736842105263158,0.28571428571428564,0.3162393162393162,0.5,5891.9
frozenset({'pan lactal integral'}),frozenset({'chicle menta'}),0.03333333333333333,0.041666666666666664,0.016666666666666666,0.5,12.0,1.0,0.015277777777777777,1.9166666666666667,0.9482758620689655,0.2857142857142857,0.47826086956521735,0.45,9444.4
